created_at,TextPivot,Count of Number of Records
9/3/2020,crisis,1264
9/3/2020,confirmed,2224
9/3/2020,cases,6842
9/3/2020,case,1937
9/3/2020,care,1590
10/3/2020,week,1323
10/3/2020,wash,1083
10/3/2020,virus,4870
10/3/2020,testing,1993
10/3/2020,tested,2130
10/3/2020,test,1677
10/3/2020,stop,1999
10/3/2020,stay,1538
10/3/2020,spread,4072
10/3/2020,sick,1739
10/3/2020,safe,1296
10/3/2020,risk,1621
10/3/2020,response,1765
10/3/2020,rate,1010
10/3/2020,quarantine,1240
10/3/2020,public,2467
10/3/2020,positive,1971
10/3/2020,patients,1253
10/3/2020,pandemic,1379
10/3/2020,outbreak,3009
10/3/2020,number,1335
10/3/2020,information,1424
10/3/2020,infected,1545
10/3/2020,health,3770
10/3/2020,Health,1642
10/3/2020,hands,2441
10/3/2020,hand,1719
10/3/2020,global,1003
10/3/2020,getting,1630
10/3/2020,flu,1904
10/3/2020,deaths,1600
10/3/2020,death,1261
10/3/2020,crisis,1265
10/3/2020,confirmed,2261
10/3/2020,cases,6720
10/3/2020,case,2051
10/3/2020,care,1797
3/3/2020,weeks,125
3/3/2020,wash,163
3/3/2020,virus,472
3/3/2020,testing,220
3/3/2020,tested,194
3/3/2020,test,181
3/3/2020,stop,201
3/3/2020,stay,112
3/3/2020,spreading,167
3/3/2020,spread,383
3/3/2020,sick,209
3/3/2020,safe,99
3/3/2020,risk,178
3/3/2020,response,184
3/3/2020,rate,259
3/3/2020,quarantine,74
3/3/2020,public,218
3/3/2020,positive,127
3/3/2020,patients,142
3/3/2020,pandemic,124
3/3/2020,outbreak,439
3/3/2020,number,130
3/3/2020,medical,115
3/3/2020,information,167
3/3/2020,infected,148
3/3/2020,health,384
3/3/2020,Health,205
3/3/2020,hands,400
3/3/2020,hand,210
3/3/2020,global,136
3/3/2020,getting,150
3/3/2020,flu,221
3/3/2020,face,111
3/3/2020,deaths,228
3/3/2020,death,263
3/3/2020,crisis,105
3/3/2020,confirmed,245
3/3/2020,cases,540
3/3/2020,case,441
3/3/2020,care,196
4/3/2020,weeks,464
4/3/2020,wash,621
4/3/2020,virus,2198
4/3/2020,testing,766
4/3/2020,tested,768
4/3/2020,test,767
4/3/2020,stop,747
4/3/2020,stay,558
4/3/2020,spreading,625
4/3/2020,spread,2082
4/3/2020,sick,708
4/3/2020,safe,595
4/3/2020,risk,783
4/3/2020,response,696
4/3/2020,rate,1190
4/3/2020,quarantine,412
4/3/2020,public,945
4/3/2020,positive,911
4/3/2020,patients,579
4/3/2020,pandemic,471
4/3/2020,outbreak,1719
4/3/2020,number,703
4/3/2020,medical,543
4/3/2020,information,679
4/3/2020,infected,801
4/3/2020,health,1539
4/3/2020,Health,878
4/3/2020,hands,1424
4/3/2020,hand,745
4/3/2020,global,1044
4/3/2020,getting,601
4/3/2020,flu,760
4/3/2020,face,580
4/3/2020,deaths,651
4/3/2020,death,1261
4/3/2020,crisis,389
4/3/2020,confirmed,1218
4/3/2020,cases,3439
4/3/2020,case,1039
4/3/2020,care,662
5/3/2020,weeks,466
5/3/2020,wash,579
5/3/2020,virus,2510
5/3/2020,testing,820
5/3/2020,tested,769
5/3/2020,test,706
5/3/2020,stop,896
5/3/2020,stay,632
5/3/2020,spreading,674
5/3/2020,spread,2094
5/3/2020,sick,987
5/3/2020,safe,620
5/3/2020,risk,678
5/3/2020,response,713
5/3/2020,rate,588
5/3/2020,quarantine,410
5/3/2020,public,1050
5/3/2020,positive,863
5/3/2020,patients,509
5/3/2020,pandemic,430
5/3/2020,outbreak,1673
5/3/2020,number,653
5/3/2020,medical,600
5/3/2020,information,776
5/3/2020,infected,812
5/3/2020,health,1730
5/3/2020,Health,816
5/3/2020,hands,1356
5/3/2020,hand,849
5/3/2020,global,819
5/3/2020,getting,661
5/3/2020,flu,670
5/3/2020,face,757
5/3/2020,deaths,673
5/3/2020,death,1099
5/3/2020,crisis,531
5/3/2020,confirmed,1364
5/3/2020,cases,3383
5/3/2020,case,1650
5/3/2020,care,626
6/3/2020,weeks,713
6/3/2020,wash,797
6/3/2020,virus,3006
6/3/2020,testing,1503
6/3/2020,tested,1534
6/3/2020,test,1556
6/3/2020,stop,1226
6/3/2020,stay,789
6/3/2020,spreading,726
6/3/2020,spread,2298
6/3/2020,sick,1228
6/3/2020,safe,803
6/3/2020,risk,961
6/3/2020,response,1073
6/3/2020,rate,811
6/3/2020,quarantine,622
6/3/2020,public,1315
6/3/2020,positive,1384
6/3/2020,patients,740
6/3/2020,pandemic,667
6/3/2020,outbreak,2010
6/3/2020,number,983
6/3/2020,medical,700
6/3/2020,information,943
6/3/2020,infected,1139
6/3/2020,health,2249
6/3/2020,Health,968
6/3/2020,hands,1728
6/3/2020,hand,1077
6/3/2020,global,888
6/3/2020,getting,931
6/3/2020,flu,971
6/3/2020,face,852
6/3/2020,deaths,999
6/3/2020,death,776
6/3/2020,crisis,1136
6/3/2020,confirmed,1870
6/3/2020,cases,5095
6/3/2020,case,2111
6/3/2020,care,1046
7/3/2020,weeks,596
7/3/2020,wash,728
7/3/2020,virus,2426
7/3/2020,testing,1158
7/3/2020,tested,1064
7/3/2020,test,1234
7/3/2020,stop,949
7/3/2020,stay,715
7/3/2020,spreading,632
7/3/2020,spread,1677
7/3/2020,sick,829
7/3/2020,safe,618
7/3/2020,risk,971
7/3/2020,response,765
7/3/2020,rate,709
7/3/2020,quarantine,723
7/3/2020,public,1208
7/3/2020,positive,1187
7/3/2020,patients,796
7/3/2020,pandemic,595
7/3/2020,outbreak,1399
7/3/2020,number,896
7/3/2020,medical,659
7/3/2020,information,623
7/3/2020,infected,923
7/3/2020,health,1809
