created_at,TextPivot,Number of Records
07/03/2020,debt,11
07/03/2020,crisis,32
07/03/2020,country,31
07/03/2020,China,61
07/03/2020,care,30
07/03/2020,businesses,29
07/03/2020,business,257
07/03/2020,#economy,56
07/03/2020,#business,32
07/03/2020,@realDonaldTrump,80
08/03/2020,world,94
08/03/2020,working,56
08/03/2020,workers,73
08/03/2020,work,153
08/03/2020,virus,125
08/03/2020,US,114
08/03/2020,Trump,107
08/03/2020,today,30
08/03/2020,time,128
08/03/2020,support,37
08/03/2020,small,37
08/03/2020,save,30
08/03/2020,right,87
08/03/2020,response,47
08/03/2020,rent,28
08/03/2020,public,60
08/03/2020,paying,103
08/03/2020,pay,348
08/03/2020,pandemic,33
08/03/2020,package,9
08/03/2020,open,28
08/03/2020,new,42
08/03/2020,needed,14
08/03/2020,money,516
08/03/2020,million,38
08/03/2020,lost,26
08/03/2020,lockdown,13
08/03/2020,lives,32
08/03/2020,latest,38
08/03/2020,jobs,88
08/03/2020,income,36
08/03/2020,impact,62
08/03/2020,home,61
08/03/2020,help,60
08/03/2020,health,88
08/03/2020,government,110
08/03/2020,good,66
08/03/2020,global,66
08/03/2020,economy,389
08/03/2020,economic,41
08/03/2020,debt,9
08/03/2020,crisis,52
08/03/2020,country,71
08/03/2020,China,92
08/03/2020,care,83
08/03/2020,businesses,42
08/03/2020,business,312
08/03/2020,#economy,37
08/03/2020,#business,31
08/03/2020,@realDonaldTrump,140
09/03/2020,world,139
09/03/2020,working,49
09/03/2020,workers,84
09/03/2020,work,246
09/03/2020,virus,147
09/03/2020,US,118
09/03/2020,Trump,181
09/03/2020,today,64
09/03/2020,time,176
09/03/2020,support,47
09/03/2020,small,40
09/03/2020,save,29
09/03/2020,right,92
09/03/2020,response,76
09/03/2020,rent,145
09/03/2020,public,71
09/03/2020,paying,108
09/03/2020,pay,479
09/03/2020,pandemic,64
09/03/2020,package,7
09/03/2020,open,19
09/03/2020,new,49
09/03/2020,needed,20
09/03/2020,money,469
09/03/2020,million,45
09/03/2020,lost,43
09/03/2020,lockdown,17
09/03/2020,lives,51
09/03/2020,latest,54
09/03/2020,jobs,159
09/03/2020,income,75
