created_at,TextPivot,Count of Number of Records
14/3/2020,close,533
15/3/2020,working,772
15/3/2020,work,1605
15/3/2020,travel,817
15/3/2020,toilet,870
15/3/2020,public,1290
15/3/2020,home,2240
15/3/2020,closed,833
15/3/2020,close,981
16/3/2020,working,894
16/3/2020,work,1711
16/3/2020,travel,590
16/3/2020,toilet,480
16/3/2020,public,1049
16/3/2020,home,2080
16/3/2020,closed,765
16/3/2020,close,800
17/3/2020,working,1266
17/3/2020,workers,974
17/3/2020,work,2343
17/3/2020,public,1178
17/3/2020,home,2953
17/3/2020,colleagues,876
18/3/2020,working,1261
18/3/2020,workers,913
18/3/2020,work,1967
18/3/2020,public,927
18/3/2020,home,2647
18/3/2020,colleagues,467
19/3/2020,working,1402
19/3/2020,workers,1131
19/3/2020,work,2216
19/3/2020,public,1135
19/3/2020,home,2897
19/3/2020,colleagues,439
20/3/2020,working,947
20/3/2020,workers,863
20/3/2020,work,1601
20/3/2020,public,859
20/3/2020,home,2231
20/3/2020,colleagues,326
21/3/2020,working,730
21/3/2020,workers,827
21/3/2020,work,1241
21/3/2020,public,784
21/3/2020,home,2263
21/3/2020,colleagues,1102
22/3/2020,working,983
22/3/2020,workers,1404
22/3/2020,work,1548
22/3/2020,public,939
22/3/2020,home,2890
22/3/2020,colleagues,3995
23/3/2020,working,1766
23/3/2020,workers,1739
23/3/2020,work,3007
23/3/2020,public,1398
23/3/2020,home,4495
23/3/2020,colleagues,2056
24/3/2020,working,1369
24/3/2020,workers,1399
24/3/2020,work,2581
24/3/2020,public,1069
24/3/2020,home,3379
24/3/2020,colleagues,628
17/3/2020,working,899
17/3/2020,workers,649
17/3/2020,work,1543
17/3/2020,public,892
17/3/2020,home,1997
17/3/2020,colleagues,679
18/3/2020,working,1493
18/3/2020,workers,1142
18/3/2020,work,2298
18/3/2020,public,1163
18/3/2020,home,3127
18/3/2020,colleagues,465
19/3/2020,working,921
19/3/2020,workers,682
19/3/2020,work,1407
19/3/2020,public,712
